experiment,year,train_fights,test_fights,accuracy,roc_auc,log_loss,brier,ece
logistic_rich_365_c0.1,2024,7296,513,0.6296296296296297,0.6589676397099153,0.655022479635354,0.23103161736837455,0.05201047018484379
logistic_rich_548_c0.1,2019,4839,506,0.5711462450592886,0.6165245219365314,0.6793910349406657,0.24181696652203227,0.0665189478029868
logistic_rich_548_c0.1,2020,5345,444,0.6373873873873874,0.6799625734800562,0.6476618594521334,0.2269686293437179,0.04250320186165555
logistic_rich_548_c0.1,2021,5789,497,0.5975855130784709,0.6434089068825911,0.6722552821628344,0.23733540836464742,0.05426389657105944
logistic_rich_548_c0.1,2022,6286,506,0.5968379446640316,0.6471857410881802,0.6523236699350492,0.2311984711748788,0.03829051339037201
logistic_rich_548_c0.1,2023,6792,504,0.6130952380952381,0.6406604665825977,0.6620855716960254,0.23500349512133717,0.04255617639277804
logistic_rich_548_c0.1,2024,7296,513,0.621832358674464,0.6585410445487232,0.6558750968513751,0.2314215126822402,0.05396475156145566
logistic_rich_730_c0.1,2019,4839,506,0.5652173913043478,0.6149322907634828,0.6795549778084274,0.2419415523279278,0.06877786973637998
logistic_rich_730_c0.1,2020,5345,444,0.6418918918918919,0.6805727884791409,0.6472408050303639,0.2268410018960171,0.04431586664084909
logistic_rich_730_c0.1,2021,5789,497,0.5955734406438632,0.6433927125506074,0.6719097986341176,0.23720185193125531,0.05712920850219257
logistic_rich_730_c0.1,2022,6286,506,0.5928853754940712,0.6488586616635397,0.6517659292885274,0.23088358369065157,0.03855330582339326
logistic_rich_730_c0.1,2023,6792,504,0.6150793650793651,0.6420633669609079,0.6610370911161385,0.23451846937882648,0.04136157006629794
logistic_rich_730_c0.1,2024,7296,513,0.621832358674464,0.6579316228898774,0.6563341791922642,0.23162662957144262,0.028808827598513893
logistic_rich_1095_c0.1,2019,4839,506,0.5632411067193676,0.612677943657087,0.679931365375568,0.2422014369587273,0.06972295586423417
logistic_rich_1095_c0.1,2020,5345,444,0.6441441441441441,0.6816508349775238,0.6462639170890345,0.22646081981104113,0.04074638586930712
logistic_rich_1095_c0.1,2021,5789,497,0.5995975855130785,0.6437004048582996,0.6715312719730401,0.23703656073150814,0.037130151774347225
logistic_rich_1095_c0.1,2022,6286,506,0.5948616600790514,0.650609756097561,0.650998181113787,0.23047343102937612,0.0409016386542367
logistic_rich_1095_c0.1,2023,6792,504,0.6071428571428571,0.6442228877679698,0.6598561671472992,0.23397706266386403,0.025920833594142878
logistic_rich_1095_c0.1,2024,7296,513,0.6276803118908382,0.6586781644219636,0.6565581971595753,0.2317228161179329,0.03531676640897188
logistic_core_c1,2019,4839,506,0.567193675889328,0.59928586067189,0.6793856041301222,0.24300232757582974,0.0382103608900368
logistic_core_c1,2020,5345,444,0.6261261261261262,0.6678803164981796,0.6572762568779191,0.231800708681892,0.05342936816489126
logistic_core_c1,2021,5789,497,0.6217303822937625,0.6583967611336032,0.6571992608247584,0.231743142148702,0.02356225678778198
logistic_core_c1,2022,6286,506,0.6086956521739131,0.6565196998123828,0.6518093701536471,0.23034934175537888,0.01699153902240328
logistic_core_c1,2023,6792,504,0.5932539682539683,0.6396674022698612,0.6609207315913925,0.23449999669129384,0.018111397547016284
logistic_core_c1,2024,7296,513,0.6159844054580896,0.6545798037662258,0.6528452176346524,0.23087491366076618,0.03389439347424931
logistic_rich_548_c1,2019,4839,506,0.5711462450592886,0.6149322907634828,0.68267630999286,0.24307663637300722,0.07016641077370626
logistic_rich_548_c1,2020,5345,444,0.6418918918918919,0.6774200109838701,0.6509728384343051,0.22819705552302036,0.03653630629572297
logistic_rich_548_c1,2021,5789,497,0.6096579476861167,0.6415627530364372,0.6750479239953011,0.23832266284179313,0.04817669766649362
logistic_rich_548_c1,2022,6286,506,0.6027667984189723,0.6438242651657285,0.6551678594207072,0.23258823165107942,0.058587882875192426
