date,fighter_a,fighter_b,fighter_a_won_saved,Rich Logistic,primary_category,ufc_debutant_or_very_low_experience,large_age_difference,large_reach_difference,large_size_difference,fighter_moving_weight_classes,long_layoff,short_notice,recent_decline,recent_improvement,wrestler_vs_striker,grappler_vs_weak_submission_defense,power_puncher_vs_poor_defense,low_data_fighter,close_50_50_fight,major_upset
2025-10-11,deiveson figueiredo,montel jackson,1,0.2849557510735216,large_reach_difference,False,False,True,False,False,False,,True,False,False,False,False,False,False,True
2025-10-11,clayton carpenter,jafel filho,0,0.558800830452305,grappler_vs_weak_submission_defense,False,False,False,False,False,False,,False,False,False,True,False,False,False,False
2025-10-11,mario pinto,jhonata diniz,1,0.3017150102945838,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-10-11,stewart nicoll,lucas rocha,0,0.668561146626754,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-10-11,kaan ofli,ricardo ramos,1,0.3933423831525054,ufc_debutant_or_very_low_experience,True,False,True,False,False,False,,True,False,False,False,False,True,False,False
2025-10-11,thomas petersen,vitor petrino,0,0.5824311475168586,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2025-10-18,azamat bekoev,yousri belgaroui,0,0.7678049901549833,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,True
2025-10-18,hyunsung park,bruno silva,0,0.5724088410521468,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2025-10-18,danny barlow,djorden santos,0,0.5444335200959959,ufc_debutant_or_very_low_experience,True,False,False,False,True,False,,False,False,False,False,False,True,True,False
2025-10-18,kyle nelson,matt frevola,1,0.4494049427503619,fighter_moving_weight_classes,False,False,False,False,True,False,,False,True,False,False,False,False,False,False
2025-10-18,aiemann zahabi,marlon vera,1,0.4765184508328601,fighter_moving_weight_classes,False,False,False,False,True,False,,True,True,False,False,False,False,True,False
2025-10-18,tainara lisboa,melissa croden,0,0.5838681414103245,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-10-18,brendan allen,reinier de ridder,1,0.4939884519702119,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,True,False
2025-10-25,jailton almeida,alexander volkov,0,0.5369006701616795,recent_decline,False,False,False,False,False,False,,True,False,True,False,True,False,True,False
2025-10-25,jaqueline amorim,mizuki,0,0.7064048149515509,long_layoff,False,False,False,False,False,True,,False,True,True,False,False,False,False,True
2025-10-25,umar nurmagomedov,mario bautista,1,0.4539318416579747,close_50_50_fight,False,False,False,False,False,False,,False,False,False,False,False,False,True,False
2025-10-25,mackenzie dern,virna jandiroba,1,0.3635951076857005,recent_improvement,False,False,False,False,False,False,,False,True,False,False,False,False,False,False
2025-11-01,donte johnson,sedriques dumas,1,0.3961097079056158,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-11-01,isaac dulgarian,yadier del valle,0,0.5552680468883011,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-11-01,themba gorimbo,jeremiah wells,0,0.6576903563756298,long_layoff,False,False,False,False,False,True,,True,False,False,False,False,False,False,False
2025-11-01,ante delija,waldo cortes acosta,0,0.5885724202664467,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-11-08,marco tulio,christian leroy duncan,0,0.584085030079208,ufc_debutant_or_very_low_experience,True,False,False,False,False,False,,False,False,False,False,False,True,False,False
2025-11-08,hyder amil,jamall emmers,0,0.507000490309258,close_50_50_fight,False,False,False,False,False,False,,False,False,False,False,False,False,True,False
2025-11-08,daniel marcos,miles johns,1,0.4930123788323849,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,True,False
2025-11-08,uros medic,muslim salikhov,1,0.4871742287718842,large_age_difference,False,True,False,False,False,False,,False,True,False,False,False,False,True,False
2025-11-08,raoni barcelos,ricky simon,1,0.3137460568568043,recent_improvement,False,False,False,False,False,False,,False,True,False,False,False,False,False,False
2025-11-08,denise gomes,tecia pennington,1,0.4050440737126202,recent_improvement,False,False,False,False,False,False,,False,True,False,False,False,False,False,False
2025-11-08,zach reese,jackson mcvey,1,0.4536878556320803,ufc_debutant_or_very_low_experience,True,False,False,False,True,False,,False,False,False,False,False,True,True,False
2025-11-15,benoit saint denis,beneil dariush,1,0.2769639913248756,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,True
2025-11-15,carlos prates,leon edwards,1,0.3390029350857263,recent_decline,False,False,False,False,False,False,,True,False,False,False,False,False,False,False
2025-11-15,ethyn ewing,malcolm wellmaker,1,0.2566033887999812,ufc_debutant_or_very_low_experience,True,False,False,False,True,False,,False,False,False,False,False,True,False,True
2025-11-15,chepe mariscal,pat sabatini,0,0.5144772519163473,close_50_50_fight,False,False,False,False,False,False,,False,False,False,False,False,False,True,False
2025-11-15,sean brady,michael morales,0,0.612919747239819,wrestler_vs_striker,False,False,False,False,False,False,,False,False,True,False,False,False,False,False
