candidate,year,train_fights,test_fights,accuracy,roc_auc,log_loss,brier,ece
v3_logistic_c0.1,2023,6792,504,0.6170634920634921,0.6431825346784363,0.6623208147544286,0.23495754893183932,0.039572973946782865
v3_logistic_c0.1,2024,7296,513,0.6159844054580896,0.6506947406910842,0.6593978302250286,0.23318372416118624,0.038717692908766005
v3_logistic_c0.1,2025,7809,515,0.6213592233009708,0.6583023543990086,0.6533167135543533,0.2311577971792276,0.04351246380524451
v3_logistic_c0.1,2026,8324,257,0.6186770428015564,0.6644921351054749,0.6511744097559639,0.22941089602311113,0.05472084018877271
v3_elastic_l1r0.5,2019,4839,506,0.5652173913043478,0.6090047766935192,0.6828068875660446,0.24331346403415272,0.07604806266228617
v3_elastic_l1r0.5,2020,5345,444,0.6554054054054054,0.6889937554665093,0.6453836278471685,0.22574956298017504,0.052796832120712796
v3_elastic_l1r0.5,2021,5789,497,0.579476861167002,0.6181943319838057,0.6874625946331677,0.24447757279558807,0.0668701231779096
v3_elastic_l1r0.5,2022,6286,506,0.5889328063241107,0.6438555347091932,0.6530613235207173,0.2317554333911715,0.04996974969762438
v3_elastic_l1r0.5,2023,6792,504,0.6190476190476191,0.6502285624211854,0.6573108876710531,0.23275521573068855,0.03271235336101748
v3_elastic_l1r0.5,2024,7296,513,0.6257309941520468,0.6595313547443475,0.6552118951150059,0.23117152699061702,0.02527317325879849
v3_elastic_l1r0.5,2025,7809,515,0.6213592233009708,0.6650874965998731,0.6507245472675747,0.2298126775194225,0.04032053366203984
v3_elastic_l1r0.5,2026,8324,257,0.603112840466926,0.6672357029630532,0.6493749193045408,0.2284456874647543,0.05803167861670492
v3_extra_trees,2019,4839,506,0.5652173913043478,0.6035186732457869,0.677675033495575,0.242095934770309,0.0449219262557935
v3_extra_trees,2020,5345,444,0.6103603603603603,0.6525435795211846,0.6532690760539083,0.23104670191318552,0.043548246579710036
v3_extra_trees,2021,5789,497,0.5955734406438632,0.643085020242915,0.6639989591717808,0.23515528033420163,0.05085000694682611
v3_extra_trees,2022,6286,506,0.6304347826086957,0.6708411507191995,0.6519650948870637,0.22932812348653295,0.0497716926263814
v3_extra_trees,2023,6792,504,0.6071428571428571,0.6366093947036571,0.6638313191490224,0.23563050886369205,0.05266048747630136
v3_extra_trees,2024,7296,513,0.6159844054580896,0.6367542202449875,0.6688618163344132,0.2373824528941306,0.03735182629963673
v3_extra_trees,2025,7809,515,0.6271844660194175,0.6682458367334603,0.6521222449514037,0.22997436290910522,0.03421031547419235
v3_extra_trees,2026,8324,257,0.622568093385214,0.6629679307401536,0.6495134434638238,0.22909461091255015,0.043269636007198554
v3_hist_gradient,2019,4839,506,0.5592885375494071,0.5868711869216339,0.6885979264603546,0.24755705601675124,0.06529437504133533
v3_hist_gradient,2020,5345,444,0.6554054054054054,0.6860850639708723,0.6401981861026356,0.2247077416802331,0.05364484585900419
