experiment,year,train_fights,test_fights,accuracy,roc_auc,log_loss,brier,ece
logistic_rich_180_c0.1,2024,7296,513,0.6276803118908382,0.6646962033030654,0.6514460723906671,0.22973861822004776,0.04029870119485019
logistic_rich_180_c1,2019,4839,506,0.5691699604743083,0.6029669099679977,0.6879581222172955,0.2457201682365214,0.059455908033484675
logistic_rich_180_c1,2020,5345,444,0.6486486486486487,0.6815694729776458,0.6492849985823422,0.22761604264762814,0.05176287278119088
logistic_rich_180_c1,2021,5789,497,0.607645875251509,0.6334655870445345,0.6774226489192815,0.23981231713253792,0.05396454875602855
logistic_rich_180_c1,2022,6286,506,0.5988142292490118,0.6373514696685428,0.6585456078526568,0.23399864077253213,0.05344763476456654
logistic_rich_180_c1,2023,6792,504,0.5992063492063492,0.6310293190416141,0.6680688264496996,0.23759854386267562,0.0456632234427747
logistic_rich_180_c1,2024,7296,513,0.6296296296296297,0.6643762569321714,0.6521960014533849,0.22996711289540595,0.03397223836150889
logistic_rich_365_c0.1,2019,4839,506,0.567193675889328,0.6090047766935192,0.6815706059612919,0.24303039423964265,0.05726715936756141
logistic_rich_365_c0.1,2020,5345,444,0.6509009009009009,0.6782743119825886,0.6490648284418874,0.2279559415772529,0.04772831623395063
logistic_rich_365_c0.1,2021,5789,497,0.607645875251509,0.6417246963562753,0.6712616180444638,0.23719363328521703,0.037828502184573745
logistic_rich_365_c0.1,2022,6286,506,0.6007905138339921,0.6446372732958099,0.6554727754714069,0.23250862183351031,0.05479919195943373
logistic_rich_365_c0.1,2023,6792,504,0.6071428571428571,0.6346232660781841,0.6658676489217706,0.23660797698799307,0.0479812039218734
logistic_rich_365_c0.1,2024,7296,513,0.6237816764132553,0.6635687732342007,0.6511864289554218,0.22967477337401968,0.03693142300678225
logistic_rich_365_c1,2019,4839,506,0.567193675889328,0.6070341935585579,0.6860641579410685,0.24481838239073003,0.06229621431622389
logistic_rich_365_c1,2020,5345,444,0.6441441441441441,0.6776844374834735,0.6502552683103712,0.22817549189694022,0.049746112990936335
logistic_rich_365_c1,2021,5789,497,0.6116700201207244,0.6368178137651822,0.6745983275037277,0.2386458397281276,0.06599049647138225
logistic_rich_365_c1,2022,6286,506,0.6067193675889329,0.6411350844277673,0.6572252144899613,0.23339139776336956,0.06154355969044289
logistic_rich_365_c1,2023,6792,504,0.6011904761904762,0.6344813997477932,0.6666722982988301,0.23687540954046163,0.03653110609890913
logistic_rich_365_c1,2024,7296,513,0.6257309941520468,0.6626546407459322,0.6519714538118007,0.2299299382879537,0.02969980291991803
logistic_rich_730_c0.1,2019,4839,506,0.5652173913043478,0.609162423344316,0.6808225554901368,0.24270204345403434,0.06005130610993675
logistic_rich_730_c0.1,2020,5345,444,0.6441441441441441,0.6777861399833208,0.6484319834594263,0.22774801983111248,0.038603134977471
logistic_rich_730_c0.1,2021,5789,497,0.5975855130784709,0.6448825910931175,0.6695617518078155,0.23633038449679017,0.04465985815265646
logistic_rich_730_c0.1,2022,6286,506,0.5988142292490118,0.6486710444027517,0.6537929841435606,0.231633654368615,0.054408244357050724
logistic_rich_730_c0.1,2023,6792,504,0.6051587301587301,0.6396831651954603,0.6629784873057408,0.2352632760615618,0.03746143110919985
logistic_rich_730_c0.1,2024,7296,513,0.621832358674464,0.6614510329697117,0.6520966401757329,0.2301687411141254,0.03975912425115091
logistic_rich_730_c1,2019,4839,506,0.567193675889328,0.6089259533681207,0.684881280807097,0.24433374398471727,0.06304559715014474
logistic_rich_730_c1,2020,5345,444,0.6418918918918919,0.675548684986677,0.6502827182400405,0.22831275121044028,0.04193495922461384
logistic_rich_730_c1,2021,5789,497,0.6036217303822937,0.6400728744939271,0.6724778959017679,0.23766742345189512,0.036577576285315716
logistic_rich_730_c1,2022,6286,506,0.6007905138339921,0.6429643527204503,0.656451448256379,0.23291108468118468,0.07279788178963413
logistic_rich_730_c1,2023,6792,504,0.6111111111111112,0.6398250315258512,0.6645601044723074,0.2358515851193789,0.039940351149157415
logistic_rich_730_c1,2024,7296,513,0.6159844054580896,0.6582820403437138,0.6534115073359,0.23069686454058547,0.028154570177466032
logistic_rich_1095_c0.1,2019,4839,506,0.5632411067193676,0.6073021928649126,0.681099825892698,0.24286995158118643,0.07995502904710229
logistic_rich_1095_c0.1,2020,5345,444,0.6486486486486487,0.6790879319813681,0.6478729854735512,0.22749722325686003,0.04901996631581267
logistic_rich_1095_c0.1,2021,5789,497,0.5895372233400402,0.6457408906882592,0.6695599298914451,0.23623526365986372,0.04455283077675342
logistic_rich_1095_c0.1,2022,6286,506,0.6106719367588933,0.6511569731081926,0.6526120231770611,0.23104388271455464,0.06706594849938224
logistic_rich_1095_c0.1,2023,6792,504,0.6091269841269841,0.6423313366960908,0.6615759308858288,0.234630371211779,0.052158631420184245
logistic_rich_1095_c0.1,2024,7296,513,0.621832358674464,0.6620909257114997,0.6523546154748048,0.23029709057797865,0.03890351422575638
logistic_rich_1095_c1,2019,4839,506,0.567193675889328,0.6080116027934986,0.6847355069772869,0.24432524387763074,0.06287137652877611
logistic_rich_1095_c1,2020,5345,444,0.6373873873873874,0.6761792404857313,0.6498187211875937,0.22811689090662501,0.029927083948504192
logistic_rich_1095_c1,2021,5789,497,0.6036217303822937,0.6417408906882591,0.6720492869616543,0.23740789357292164,0.039276853113820474
logistic_rich_1095_c1,2022,6286,506,0.5968379446640316,0.6450125078173858,0.6557762336655544,0.23254850187217227,0.04224816520470407
logistic_rich_1095_c1,2023,6792,504,0.6130952380952381,0.6421737074401009,0.6633279312054475,0.23528446040030512,0.04110647806798686
logistic_rich_1095_c1,2024,7296,513,0.6140350877192983,0.657352672313974,0.6540857486223365,0.2310345053715294,0.031155757525274958
random_forest_rich730,2019,4839,506,0.5632411067193676,0.5979222171424968,0.6780932929614469,0.2423744869331606,0.03594492174642732
random_forest_rich730,2020,5345,444,0.6373873873873874,0.684152716473771,0.6448215371918118,0.22656091821611785,0.06861384932633743
random_forest_rich730,2021,5789,497,0.6156941649899397,0.6587287449392712,0.6549751552619584,0.23138996951134774,0.025207184647384268
random_forest_rich730,2022,6286,506,0.6383399209486166,0.6718105065666042,0.6497768872040245,0.22886325796535176,0.04602498631572759
random_forest_rich730,2023,6792,504,0.5932539682539683,0.6356163303909206,0.6642643486320831,0.23587512927354548,0.059823224690182975
random_forest_rich730,2024,7296,513,0.6159844054580896,0.6470229751965385,0.6625899627041112,0.2348719508031581,0.04214351688378899
extra_trees_rich730,2019,4839,506,0.5395256916996047,0.6027934986521212,0.6775992905959154,0.2418837326733149,0.06697438705199854
extra_trees_rich730,2020,5345,444,0.6013513513513513,0.6618188475072717,0.6511115496492498,0.22986719984430962,0.03655511519255484
extra_trees_rich730,2021,5789,497,0.607645875251509,0.6592955465587045,0.6565333427960806,0.23184280405545113,0.047896504508210494
extra_trees_rich730,2022,6286,506,0.6205533596837944,0.6609443402126329,0.6590395162263885,0.23236393020753812,0.04168173076115814
extra_trees_rich730,2023,6792,504,0.5932539682539683,0.6320539092055485,0.6650259506248862,0.23616186964806138,0.02129013208950189
extra_trees_rich730,2024,7296,513,0.5886939571150097,0.624626729233957,0.6730871830112822,0.23937371371785685,0.036810522132256523
gradient_boosting_rich730,2019,4839,506,0.5612648221343873,0.5907965885264768,0.6784019451733998,0.24287735637294175,0.03150457551928471
gradient_boosting_rich730,2020,5345,444,0.6441441441441441,0.6927160669609259,0.6451516742805964,0.22653829728185035,0.0547882136465536
gradient_boosting_rich730,2021,5789,497,0.6156941649899397,0.6655708502024292,0.6521759683356524,0.2301598916264581,0.0360725608567339
gradient_boosting_rich730,2022,6286,506,0.5928853754940712,0.6485772357723577,0.6587954004901085,0.2334090928324104,0.02789999395083773
gradient_boosting_rich730,2023,6792,504,0.5892857142857143,0.6325425598991172,0.6621858047280361,0.2351653489087582,0.03698372712648966
gradient_boosting_rich730,2024,7296,513,0.6003898635477583,0.6386891340118227,0.663559165591061,0.23551595303020118,0.03949457492202934
hist_gradient_rich730,2019,4839,506,0.5553359683794467,0.577546387526997,0.6951617587621531,0.25044825176020385,0.07886049492615192
hist_gradient_rich730,2020,5345,444,0.6441441441441441,0.6866139169700792,0.6404240432506338,0.22438186914846822,0.030127943232041314
hist_gradient_rich730,2021,5789,497,0.5835010060362174,0.6414736842105263,0.6655517721494058,0.23637664516595946,0.06875602589626505
hist_gradient_rich730,2022,6286,506,0.6027667984189723,0.6486710444027517,0.6600194611558141,0.233858306025343,0.049682745484810005
hist_gradient_rich730,2023,6792,504,0.5575396825396826,0.6194750945775536,0.6770922835871503,0.2416058669999109,0.07591898727009973
hist_gradient_rich730,2024,7296,513,0.6042884990253411,0.6444938753123286,0.6622190265051275,0.23454558999202144,0.054570980536291024
xgboost_rich730,2019,4839,506,0.5553359683794467,0.5973941008623271,0.6775779994714555,0.2423657013390987,0.05675751017958748
xgboost_rich730,2020,5345,444,0.6554054054054054,0.6962349734556477,0.6398194757455972,0.2240741513105072,0.05868006933916795
xgboost_rich730,2021,5789,497,0.613682092555332,0.6563562753036438,0.6551415943161398,0.23162071130071674,0.018047993211918936
xgboost_rich730,2022,6286,506,0.5830039525691699,0.6589430894308944,0.6515513154421119,0.23009199007154071,0.06066094156310491
xgboost_rich730,2023,6792,504,0.6031746031746031,0.6452947667087011,0.6582579945781182,0.2333193011528892,0.033696261663285536
xgboost_rich730,2024,7296,513,0.6257309941520468,0.6461545493326833,0.6595882488237423,0.23364679990372608,0.0323884779946846
