fighter_id,canonical_name,display_name,alias_name,identity_source
ufcp-fef56f6e-4821-5daa-b4c8-27be9a0b6df7,aj dobson,Aj Dobson,AJ DOBSON,UFC-DataLab/UFCStats-derived name
ufcp-3c81aab1-77fc-5fe8-97b5-be3c41a38a1e,aj fletcher,Aj Fletcher,AJ FLETCHER,UFC-DataLab/UFCStats-derived name
ufcp-fd0d8d4e-f772-57ef-b642-6d977d5188d1,aj fonseca,AJ Fonseca,AJ Fonseca,UFC-DataLab/UFCStats-derived name
ufcp-79e1d7f5-0d7d-5935-8cb2-48b45a682395,aj matthews,AJ Matthews,AJ Matthews,UFC-DataLab/UFCStats-derived name
ufcp-b8de848d-d6b3-5a7f-8858-1ca572121d23,aj mckee,AJ McKee,AJ McKee,UFC-DataLab/UFCStats-derived name
ufcp-fc8271b9-0588-55ff-ac0c-35a22eddc9e4,aj siscoe,AJ Siscoe,AJ Siscoe,UFC-DataLab/UFCStats-derived name
ufcp-1dad83ad-bcf3-5907-b7fa-ec9f9fd48138,aji susilo,Aji Susilo,Aji Susilo,UFC-DataLab/UFCStats-derived name
ufcp-0191524e-4cfa-5907-9554-0f62957b63e6,akbarh arreola,Akbarh Arreola,AKBARH ARREOLA,UFC-DataLab/UFCStats-derived name
ufcp-0191524e-4cfa-5907-9554-0f62957b63e6,akbarh arreola,Akbarh Arreola,Akbarh Arreola,UFC-DataLab/UFCStats-derived name
ufcp-eac73960-c6cf-59ab-94db-549551607210,akihiro gono,Akihiro Gono,AKIHIRO GONO,UFC-DataLab/UFCStats-derived name
ufcp-eac73960-c6cf-59ab-94db-549551607210,akihiro gono,Akihiro Gono,Akihiro Gono,UFC-DataLab/UFCStats-derived name
ufcp-5d3c17eb-ff55-542e-8304-b9d3a7300b3a,akihito tanaka,Akihito Tanaka,Akihito Tanaka,UFC-DataLab/UFCStats-derived name
ufcp-5732dffb-1aea-5aa8-bc7c-50b8d29529e5,akira corassani,Akira Corassani,AKIRA CORASSANI,UFC-DataLab/UFCStats-derived name
